#{"t_start": 1579105986.026177, "env_id": "CartPole-v1"}
r,l,t
32.0,32,1.284737
43.0,43,1.314143
213.0,213,1.455516
8.0,8,1.461794
25.0,25,1.483662
9.0,9,1.490369
13.0,13,1.500972
9.0,9,1.508534
11.0,11,1.51784
9.0,9,1.525408
10.0,10,1.533511
12.0,12,1.542875
12.0,12,1.553109
10.0,10,1.560928
9.0,9,1.568547
39.0,39,1.598899
12.0,12,1.607097
12.0,12,1.61544
10.0,10,1.621437
11.0,11,1.628218
9.0,9,1.633982
12.0,12,1.64244
38.0,38,1.670864
10.0,10,1.677317
12.0,12,1.685174
10.0,10,1.691155
10.0,10,1.697744
11.0,11,1.705194
11.0,11,1.712121
23.0,23,1.726268
11.0,11,1.733632
10.0,10,1.742229
16.0,16,1.754738
8.0,8,1.760495
10.0,10,1.768929
9.0,9,1.775523
46.0,46,1.810934
12.0,12,1.819665
12.0,12,1.828986
12.0,12,1.838368
19.0,19,1.854779
10.0,10,1.862988
11.0,11,1.871673
10.0,10,1.879361
66.0,66,1.921389
34.0,34,1.945091
14.0,14,1.956143
10.0,10,1.963468
12.0,12,1.972855
9.0,9,1.981169
18.0,18,2.379041
13.0,13,2.422956
9.0,9,2.452162
19.0,19,2.513884
15.0,15,2.563926
11.0,11,2.600863
9.0,9,2.628439
11.0,11,2.664984
12.0,12,2.702974
16.0,16,2.75544
9.0,9,2.78604
9.0,9,2.812956
11.0,11,2.849964
26.0,26,2.93511
38.0,38,3.058167
148.0,148,3.534707
11.0,11,3.569929
12.0,12,3.611164
9.0,9,3.64109
24.0,24,3.717843
11.0,11,3.753092
11.0,11,3.786671
17.0,17,3.840372
13.0,13,3.884194
10.0,10,3.916045
12.0,12,3.954582
10.0,10,3.992548
10.0,10,4.031073
10.0,10,4.07624
9.0,9,4.107599
8.0,8,4.134694
15.0,15,4.185514
27.0,27,4.271962
9.0,9,4.300225
9.0,9,4.327888
97.0,97,4.636229
10.0,10,4.668731
12.0,12,4.707254
10.0,10,4.740908
12.0,12,4.778742
10.0,10,4.810499
9.0,9,4.839734
18.0,18,4.899169
13.0,13,4.940357
13.0,13,4.983477
12.0,12,5.020264
13.0,13,5.062693
9.0,9,5.093294
31.0,31,5.192865
11.0,11,5.228274
9.0,9,5.258606
9.0,9,5.290524
9.0,9,5.319576
10.0,10,5.386607
18.0,18,5.468026
8.0,8,5.499672
10.0,10,5.5409
10.0,10,5.578016
9.0,9,5.617274
11.0,11,5.656866
11.0,11,5.701174
12.0,12,5.745623
27.0,27,5.835734
10.0,10,5.869881
9.0,9,5.898235
10.0,10,5.931637
10.0,10,5.963541
9.0,9,6.001759
16.0,16,6.061788
10.0,10,6.09578
9.0,9,6.126051
9.0,9,6.156535
9.0,9,6.187915
12.0,12,6.227422
15.0,15,6.280872
12.0,12,6.323823
